date_long,year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type,purpose1,type1
1953-03-17,1953,53001,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,16.0,16.0,WR,ANNIE,TOWER,WR,ATMOSPH
1953-03-24,1953,53002,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,24.0,24.0,WR,NANCY,TOWER,WR,ATMOSPH
1953-03-31,1953,53003,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,0.2,0.2,WR,RUTH,TOWER,WR,ATMOSPH
1953-04-06,1953,53004,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-2.0,11.0,11.0,WR,DIXIE,AIRDROP,WR,ATMOSPH
1953-04-11,1953,53005,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.03,0.2,0.2,WR,RAY,TOWER,WR,ATMOSPH
1953-04-18,1953,53006,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,23.0,23.0,WR,BADGER,TOWER,WR,ATMOSPH
1953-04-25,1953,53007,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,43.0,43.0,WR,SIMON,TOWER,WR,ATMOSPH
1953-05-08,1953,53008,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.8,27.0,27.0,WE,ENCORE,AIRDROP,PNE,ATMOSPH
1953-05-19,1953,53009,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,32.0,32.0,WR,HARRY,TOWER,WR,ATMOSPH
1953-05-25,1953,53010,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,15.0,15.0,WR,GRABLE,ATMOSPH,WR,ATMOSPH
1953-06-04,1953,53011,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.4,61.0,61.0,WR,CLIMAX,AIRDROP,WR,ATMOSPH
1953-08-12,1953,53012,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,400.0,400.0,WR,,SURFACE,WR,ATMOSPH
1953-08-23,1953,53013,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,28.0,28.0,WR,,ATMOSPH,WR,ATMOSPH
1953-09-03,1953,53014,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,5.8,5.8,WR,,ATMOSPH,WR,ATMOSPH
1953-09-08,1953,53015,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,1.6,1.6,WR,,ATMOSPH,WR,ATMOSPH
1953-09-10,1953,53016,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,4.9,4.9,WR,,ATMOSPH,WR,ATMOSPH
1953-10-14,1953,53017,UK,EMU AUSTR,DOE,-28.7,132.35,0.0,0.0,0.0,10.0,10.0,WR,TOTEM:1,TOWER,WR,ATMOSPH
1953-10-26,1953,53018,UK,EMU AUSTR,DOE,-28.7,132.35,0.0,0.0,0.0,8.0,8.0,WR,TOTEM:2,TOWER,WR,ATMOSPH
1954-02-28,1954,54001,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,15000.0,15000.0,WR,BRAVO,SURFACE,WR,ATMOSPH
1954-03-26,1954,54002,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,11000.0,11000.0,WR,ROMEO,BARGE,WR,ATMOSPH
1954-04-06,1954,54003,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,110.0,110.0,WR,KOON,SURFACE,WR,ATMOSPH
1954-04-25,1954,54004,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,6900.0,6900.0,WR,UNION,BARGE,WR,ATMOSPH
1954-05-04,1954,54005,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,13500.0,13500.0,WR,YANKEE,BARGE,WR,ATMOSPH
1954-05-13,1954,54006,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.001,1690.0,1690.0,WR,NECTAR,BARGE,WR,ATMOSPH
1954-09-14,1954,54007,USSR,ORENBG RUSS,DOE,52.0,55.0,0.0,0.0,0.0,40.0,40.0,ME,,ATMOSPH,WR,ATMOSPH
1954-09-29,1954,54008,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,0.2,0.2,WR,,ATMOSPH,WR,ATMOSPH
1954-10-01,1954,54009,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,0.03,0.03,WR,,ATMOSPH,WR,ATMOSPH
1954-10-03,1954,54010,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,2.0,2.0,WR,,ATMOSPH,WR,ATMOSPH
1954-10-05,1954,54011,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,4.0,4.0,WR,,SURFACE,WR,ATMOSPH
1954-10-08,1954,54012,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,0.8,0.8,WR,,ATMOSPH,WR,ATMOSPH
1954-10-19,1954,54013,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,0.0,0.001,WR,,SURFACE,WR,ATMOSPH
1954-10-23,1954,54014,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,62.0,62.0,WR,,ATMOSPH,WR,ATMOSPH
1954-10-26,1954,54015,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,2.8,2.8,WR,,ATMOSPH,WR,ATMOSPH
